ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10133,1,1,1989,32,32,32,32,32,32,32,32,32,32
10134,1,1,1989,0,0,0,0,0,0,0,0,0,0
10134,2,1,1989,0,0,0,0,0,0,0,0,0,0
10135,1,1,1989,0,0,0,0,0,0,0,0,0,0
10136,1,1,1989,33,33,33,33,33,33,33,33,33,33
10137,1,1,1989,0,0,0,0,8,0,0,0,0,0
10138,1,1,1989,0,0,0,0,0,0,0,0,0,0
10139,1,1,1989,0,0,0,7,0,0,0,0,0,0
10140,1,1,1989,13,13,13,13,13,13,13,13,13,13
10141,1,1,1989,0,0,0,0,0,0,0,0,0,0
10142,1,1,1989,13,13,13,13,13,13,13,13,13,13
10142,2,1,1989,0,0,0,0,0,0,0,0,0,0
10143,1,1,1989,0,0,0,0,0,0,0,0,0,0
10144,1,1,1989,27,27,27,27,27,27,27,27,27,27
10144,2,1,1989,0,0,0,0,0,0,0,0,0,0
10145,1,1,1989,22,22,22,22,22,22,22,22,22,22
10146,1,1,1989,19,19,19,19,19,19,19,19,19,19
10147,1,1,1989,2,5,9,18,12,10,13,10,5,17
10147,2,1,1989,2,2,2,2,2,2,2,2,2,2
10148,1,1,1989,26,26,26,26,26,26,26,26,26,26
10149,1,1,1989,12,12,12,12,12,12,12,12,12,12
10149,2,1,1989,0,0,0,0,0,0,0,0,0,0
10150,1,1,1989,5,5,5,5,5,5,5,5,5,5
10150,2,1,1989,0,0,0,0,0,0,0,0,0,0
10151,1,1,1989,0,0,0,0,0,0,0,0,0,0
10151,2,1,1989,0,0,0,0,0,0,0,0,0,0
10152,1,1,1989,0,0,0,0,0,0,0,0,0,0
10153,1,1,1989,16,0,5,3,0,19,8,2,0,0
10154,1,1,1989,0,0,0,0,0,0,0,0,0,0
10154,2,1,1989,0,0,0,0,0,0,0,0,0,0
10155,1,1,1989,0,0,0,6,0,0,0,0,0,0
10155,2,1,1989,11,11,11,11,11,11,11,11,11,11
10156,1,1,1989,4,4,4,4,4,4,4,4,4,4
10157,1,1,1989,26,12,16,36,0,0,0,0,0,0
10158,0,1,1989,0,0,0,0,0,0,0,0,0,0
10158,1,1,1989,0,0,0,0,0,0,0,0,0,0
10159,1,1,1989,0,0,0,0,0,0,0,0,0,0
10160,1,1,1989,0,0,0,0,0,0,0,0,0,0
10161,0,1,1989,0,0,0,0,0,0,0,0,0,0
10161,1,1,1989,0,0,0,0,0,0,0,0,0,0
10162,1,1,1989,0,0,0,0,0,0,0,0,0,0
10163,1,1,1989,24,24,24,24,24,24,24,24,24,24
10163,2,1,1989,0,0,0,0,0,0,0,0,0,0
10164,0,1,1989,0,0,0,0,0,0,0,13,0,17
10164,1,1,1989,0,0,0,0,0,0,0,0,0,0
10165,1,1,1989,0,0,0,0,0,16,23,0,0,0
10166,1,1,1989,16,16,16,16,16,16,16,16,16,16
10167,0,1,1989,32,32,32,32,32,32,32,32,32,32
10167,1,1,1989,0,0,0,0,0,0,0,13,0,18
