ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
421398,1989,0,0,0,0,0,0,0,0,15,0
421399,1989,1,1,1,1,1,1,1,1,1,1
421400,1989,0,0,0,0,0,0,0,0,0,0
421401,1989,0,0,0,0,0,0,0,0,0,0
421402,1989,0,0,0,0,0,0,0,0,0,0
421403,1989,12,12,12,12,12,12,12,12,12,12
421404,1989,5,20,0,0,29,16,0,0,9,0
421405,1989,19,19,19,19,19,19,19,19,19,19
421406,1989,25,25,25,25,25,25,25,25,25,25
421407,1989,13,13,13,13,13,13,13,13,13,13
421408,1989,0,27,0,0,0,0,0,0,0,0
421409,1989,20,20,20,20,20,20,20,20,20,20
421410,1989,30,30,30,30,30,30,30,30,30,30
421411,1989,0,0,0,0,0,0,0,0,0,0
421412,1989,9,9,9,9,9,9,9,9,9,9
421413,1989,17,17,17,17,17,17,17,17,17,17
421414,1989,22,22,22,22,22,22,22,22,22,22
421415,1989,13,0,0,0,0,0,0,0,0,0
421416,1989,7,7,7,7,15,7,7,7,7,7
421417,1989,0,0,0,0,0,0,0,0,0,0
421418,1989,14,0,0,13,0,0,11,0,11,0
421419,1989,14,14,14,14,14,14,14,14,14,14
421420,1989,0,0,0,0,0,0,0,0,0,0
421421,1989,0,0,0,0,0,0,0,0,0,0
421422,1989,22,22,22,22,22,22,22,22,22,22
421423,1989,26,26,26,26,26,26,26,26,26,26
421424,1989,0,0,0,0,0,0,0,0,0,0
421425,1989,0,0,0,0,0,0,0,0,0,0
421426,1989,0,0,0,0,0,0,0,0,0,0
421427,1989,16,16,16,16,16,16,16,16,16,16
421428,1989,0,0,0,0,0,0,0,0,0,0
421429,1989,0,0,0,29,0,0,0,0,0,0
421430,1989,0,0,0,0,0,0,0,0,0,0
421431,1989,0,0,0,0,0,0,0,0,0,0
421432,1989,0,0,0,0,0,0,0,0,0,0
421433,1989,6,0,0,0,0,0,0,0,0,0
421434,1989,16,16,16,16,16,16,16,16,16,16
421435,1989,23,23,23,23,23,23,23,23,23,23
421436,1989,6,6,6,6,6,6,6,6,6,6
421437,1989,27,27,27,27,27,27,27,27,27,27
421438,1989,23,23,23,23,23,23,23,23,23,23
421439,1989,31,31,31,31,31,31,31,31,31,31
421440,1989,20,0,15,0,10,24,12,15,12,23
421441,1989,20,20,20,20,20,20,20,20,20,20
421442,1989,0,0,0,0,0,0,0,0,0,0
421443,1989,0,0,0,0,0,0,0,0,0,0
421444,1989,0,0,0,0,23,4,17,0,0,6
421445,1989,24,24,24,24,24,24,24,24,24,24
421446,1989,24,24,24,24,24,24,24,24,24,24
421447,1989,17,17,17,17,17,17,17,17,17,17
421449,1989,0,0,0,0,0,0,0,0,0,0
421450,1989,0,0,0,0,0,0,0,0,0,0
421451,1989,7,7,7,7,7,7,7,7,7,7
421452,1989,0,0,0,0,0,0,0,0,0,0
421453,1989,28,28,28,28,28,28,28,28,28,28
421454,1989,0,0,0,0,0,0,0,0,0,0
421455,1989,14,14,14,14,14,14,14,14,14,14
421456,1989,23,23,23,23,23,23,23,23,23,23
421457,1989,0,0,0,0,0,0,0,0,0,0
421458,1989,20,20,20,20,20,20,20,20,20,20
421459,1989,18,18,18,18,18,18,18,18,18,18
421460,1989,0,0,0,0,0,0,0,0,0,0
421461,1989,24,24,24,24,24,24,24,24,24,24
421462,1989,0,0,0,0,0,0,0,0,0,0
421463,1989,21,21,21,21,21,21,21,21,21,21
421464,1989,0,0,0,0,0,0,0,0,0,0
421465,1989,7,0,16,0,0,0,0,0,0,0
421466,1989,0,0,0,0,0,0,0,0,0,0
421467,1989,23,23,23,23,23,23,23,23,23,23
421468,1989,0,0,0,0,0,0,0,0,0,0
421469,1989,20,20,20,20,20,20,20,20,20,20
421470,1989,20,20,20,22,20,20,20,20,20,20
421472,1989,11,11,11,11,11,11,11,11,11,11
421473,1989,28,27,27,27,27,27,27,27,27,27
421474,1989,7,12,10,35,7,7,11,26,12,22
421475,1989,0,27,22,25,12,15,0,28,13,7
421476,1989,16,16,16,16,16,16,16,16,16,16
421477,1989,10,10,10,10,10,10,10,10,10,10
421478,1989,30,30,30,30,30,30,30,30,30,30
421479,1989,8,8,8,8,8,8,8,8,8,8
421480,1989,0,0,0,0,18,0,0,0,0,0
421481,1989,25,25,25,25,25,25,25,25,25,25
421482,1989,22,22,22,22,22,22,22,22,22,22
421483,1989,0,0,0,0,0,0,0,0,0,0
421484,1989,0,0,0,0,0,0,0,0,0,0
421485,1989,19,19,19,19,19,19,19,19,19,19
421486,1989,21,21,21,21,21,21,21,21,21,21
421487,1989,0,0,0,0,0,0,0,0,0,0
421488,1989,19,19,19,19,19,19,19,19,19,19
421489,1989,0,0,0,0,0,0,0,0,0,0
421490,1989,28,28,28,28,28,28,28,28,28,28
421491,1989,0,0,0,0,0,0,0,0,0,0
421492,1989,33,33,33,33,33,33,33,33,33,33
421493,1989,0,0,0,0,0,0,0,0,0,0
421494,1989,0,0,0,0,0,0,0,0,0,0
421495,1989,0,0,0,0,0,0,0,0,0,0
421496,1989,21,21,21,21,21,21,21,21,21,21
421497,1989,0,0,0,0,0,0,0,0,0,0
421498,1989,28,28,28,28,28,28,28,28,28,28
421499,1989,0,0,0,0,0,0,0,0,0,0
421500,1989,0,0,0,0,0,0,0,0,0,0
421501,1989,25,25,25,25,25,25,25,25,25,25
421502,1989,21,21,21,21,21,21,21,21,21,21
421503,1989,0,0,0,0,0,0,0,0,0,0
421504,1989,0,0,0,0,0,0,11,0,0,0
421505,1989,19,19,19,19,19,19,19,19,19,19
421506,1989,32,32,32,32,32,32,32,32,32,32
421507,1989,0,0,0,0,0,0,0,14,0,0
421508,1989,0,18,0,33,0,0,0,0,0,0
421509,1989,0,0,0,0,0,0,0,0,0,0
421510,1989,22,0,0,0,0,0,0,0,0,0
421511,1989,10,10,10,10,10,10,10,10,10,10
421512,1989,0,0,0,0,0,0,0,9,0,0
421513,1989,15,15,15,15,15,15,15,15,15,15
421514,1989,30,30,30,30,30,30,30,30,30,30
421515,1989,0,0,0,16,0,0,0,0,0,0
421516,1989,11,11,11,11,11,11,11,11,11,11
421517,1989,0,0,0,0,0,0,0,0,0,0
421518,1989,0,0,0,0,0,0,0,0,0,11
421519,1989,0,0,0,0,0,0,0,0,0,0
421520,1989,16,16,16,16,16,16,16,16,16,16
421521,1989,14,14,14,14,14,14,14,14,14,14
421522,1989,0,0,0,0,0,0,0,0,0,0
421523,1989,24,24,24,24,24,24,24,24,24,24
421524,1989,0,0,0,0,0,0,0,0,0,0
421525,1989,0,0,0,0,0,0,0,0,0,0
421526,1989,0,0,0,0,0,0,0,0,0,0
421527,1989,13,13,13,13,13,13,13,13,13,13
421528,1989,0,0,0,0,0,0,0,0,0,0
421529,1989,25,12,0,13,25,22,31,14,14,0
421530,1989,0,0,0,0,0,0,0,0,0,0
421531,1989,0,0,0,0,0,0,0,0,0,0
421532,1989,0,0,0,0,0,0,0,0,0,0
421533,1989,20,20,20,20,20,20,20,20,20,20
