ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
50032,1987,32,32,32,32,32,32,32,32,32,32
50033,1987,0,0,0,0,0,0,0,0,0,0
50034,1987,21,4,5,23,10,10,17,7,10,8
50035,1987,0,0,0,0,0,0,0,0,0,0
50036,1987,0,0,0,0,0,0,0,0,0,0
50037,1987,25,25,25,25,25,25,25,25,25,25
50038,1987,0,0,0,4,0,0,0,0,0,2
50039,1987,22,30,19,18,19,22,12,0,19,19
50040,1987,0,0,0,0,23,0,0,0,9,0
50041,1987,0,0,0,0,0,0,0,0,0,0
50042,1987,18,20,12,12,18,9,12,30,8,32
50043,1987,0,0,18,0,14,12,16,0,0,14
50044,1987,0,0,0,0,0,0,0,0,0,0
50045,1987,14,0,0,4,15,8,22,13,21,11
50046,1987,0,0,0,0,0,0,0,0,0,0
50047,1987,9,0,0,0,0,0,11,0,18,14
50048,1987,10,0,25,25,28,10,4,15,13,20
50049,1987,25,25,25,25,25,25,25,25,25,25
50050,1987,0,0,0,0,0,0,0,0,0,0
50051,1987,21,21,21,21,21,21,21,21,21,21
50052,1987,0,0,0,0,0,0,0,0,0,0
50053,1987,16,0,8,21,22,14,0,0,6,0
50054,1987,4,4,4,4,4,4,4,4,4,4
50055,1987,0,31,46,0,0,0,26,34,0,0
50056,1987,0,0,18,0,0,0,0,19,6,12
50057,1987,2,2,2,2,2,2,2,2,2,2
50058,1987,0,0,0,0,0,0,0,0,0,0
50059,1987,0,0,6,20,21,0,25,16,33,17
50060,1987,11,11,11,11,11,11,11,11,11,11
50061,1987,13,13,13,13,13,13,13,13,13,13
50062,1987,13,0,18,31,0,0,11,24,5,20
50063,1987,0,0,0,0,0,0,0,0,0,0
50064,1987,14,14,14,14,14,14,14,14,14,14
50065,1987,7,7,7,7,7,7,7,7,7,7
50066,1987,8,8,8,8,8,8,8,8,8,8
50067,1987,0,0,0,0,0,0,15,0,0,0
50068,1987,13,13,13,13,13,13,13,13,13,13
50069,1987,19,18,25,18,18,18,18,32,18,18
50070,1987,21,21,21,21,21,21,21,21,21,21
50071,1987,27,0,0,0,0,0,0,0,0,0
50072,1987,0,0,0,0,0,0,0,0,0,0
50073,1987,33,18,26,34,16,18,25,15,15,3
50074,1987,0,5,6,28,19,9,14,19,13,7
50075,1987,12,27,0,0,16,18,10,18,15,0
50076,1987,19,7,21,14,0,25,21,10,21,0
50077,1987,0,0,0,0,0,0,0,0,0,0
50078,1987,20,0,0,0,0,0,0,0,0,0
50079,1987,0,0,0,0,0,13,0,0,0,11
50080,1987,20,20,20,20,20,20,20,20,20,20
50081,1987,0,13,0,0,0,0,0,0,0,0
50082,1987,21,19,17,17,22,17,17,18,19,17
50083,1987,9,12,0,10,11,24,9,0,21,14
50084,1987,17,11,31,28,24,30,27,12,21,10
50085,1987,0,0,0,0,12,0,0,0,0,0
50086,1987,10,18,21,19,6,19,16,50,32,18
50087,1987,26,26,26,26,26,26,26,26,26,26
50088,1987,0,0,0,0,0,0,0,0,0,0
50090,1987,19,19,19,19,19,19,19,19,19,19
50091,1987,15,15,15,15,15,15,15,15,15,15
50092,1987,21,19,19,19,28,19,19,19,19,30
50093,1987,0,0,0,0,0,0,0,0,0,0
50094,1987,20,20,20,20,20,20,20,20,20,20
50095,1987,16,16,16,16,16,16,16,16,16,16
50096,1987,0,0,32,31,16,0,13,0,37,26
50097,1987,23,23,23,23,23,23,23,23,23,23
50098,1987,2,2,2,2,2,2,2,2,2,2
50099,1987,17,17,17,17,17,17,17,17,17,17
50100,1987,26,14,22,23,0,19,0,7,0,7
50101,1987,0,0,0,0,0,0,0,0,0,0
50102,1987,0,0,0,0,0,0,0,0,0,0
50103,1987,32,31,0,15,19,17,18,13,11,18
50104,1987,27,22,31,22,22,22,22,22,22,22
50105,1987,0,0,0,0,18,0,0,0,0,0
50106,1987,0,0,0,0,0,0,0,0,0,0
50107,1987,0,0,0,0,0,0,0,0,0,0
50108,1987,18,18,18,18,18,18,18,18,18,18
50109,1987,7,11,6,9,15,36,9,16,17,31
50110,1987,0,8,15,0,0,0,0,7,0,7
50111,1987,0,0,0,0,0,0,0,0,0,0
50112,1987,21,30,17,9,26,16,11,16,23,17
50113,1987,7,7,7,7,7,7,7,7,7,7
50114,1987,16,16,16,16,16,16,16,16,16,16
50115,1987,16,16,16,16,16,16,16,16,16,16
50116,1987,0,0,0,0,0,0,0,0,0,0
50118,1987,12,0,22,16,24,15,20,14,8,7
50119,1987,12,3,26,29,43,21,0,25,20,21
50120,1987,19,13,10,11,32,15,12,0,15,0
50121,1987,10,16,14,34,18,27,0,0,0,18
50122,1987,0,0,0,0,0,0,0,0,0,0
50123,1987,0,10,9,16,10,11,0,0,0,13
50124,1987,19,11,18,19,15,16,9,8,21,9
50125,1987,21,21,21,21,21,21,21,21,21,21
50126,1987,0,0,0,0,0,0,0,0,0,0
50127,1987,0,0,0,0,0,0,0,0,0,0
50128,1987,0,0,0,0,0,0,0,0,0,0
50129,1987,8,0,22,0,7,15,0,0,0,0
50130,1987,0,9,7,9,0,0,0,0,5,0
50131,1987,11,11,29,10,13,20,7,9,10,22
50132,1987,28,31,19,21,0,22,24,15,39,42
50133,1987,9,16,16,27,14,0,20,8,12,18
50134,1987,0,0,0,12,0,0,6,0,0,17
50135,1987,10,10,10,10,10,10,10,10,10,10
50136,1987,13,29,12,17,22,34,18,33,19,13
50137,1987,4,0,0,13,18,9,0,14,0,0
50139,1987,16,16,16,16,16,16,16,16,16,16
50140,1987,0,0,0,0,0,0,0,0,0,0
50141,1987,0,0,0,0,0,0,0,0,0,0
50142,1987,0,22,0,0,20,0,0,0,0,10
50143,1987,24,19,12,23,20,19,27,14,13,18
50144,1987,0,5,2,0,0,0,0,0,0,0
50145,1987,0,0,0,0,0,0,0,0,0,0
50146,1987,23,23,23,23,23,23,23,23,23,23
