ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
120961,1984,22,22,22,22,22,22,22,22,22,22
120962,1984,0,0,0,0,0,0,0,0,0,0
120963,1984,21,21,21,21,21,21,21,21,21,21
120964,1984,0,0,0,0,0,0,0,0,0,0
120965,1984,0,0,0,21,0,0,0,0,0,16
120966,1984,0,0,0,0,0,0,0,0,0,0
120967,1984,0,0,0,0,9,0,0,21,39,0
120968,1984,0,0,0,0,0,0,0,0,0,0
120969,1984,0,0,0,0,0,0,0,7,0,0
120970,1984,0,0,0,12,0,0,0,0,0,0
120971,1984,0,0,0,0,0,0,0,0,0,0
120972,1984,21,21,21,21,21,21,21,21,21,21
120973,1984,25,25,25,25,25,25,25,26,25,25
120974,1984,13,13,13,13,13,13,13,13,13,13
120975,1984,15,15,15,15,29,23,15,15,15,15
120976,1984,0,0,0,0,0,0,0,0,0,0
120977,1984,12,12,12,12,12,12,12,12,12,12
120978,1984,12,12,12,12,12,12,12,12,12,12
120979,1984,19,19,19,19,22,19,19,19,19,19
120980,1984,0,0,0,0,0,11,0,0,0,0
120981,1984,0,0,0,0,0,0,0,0,0,0
120982,1984,0,0,0,0,0,0,0,0,0,0
120983,1984,9,22,35,21,19,7,11,14,9,22
120985,1984,2,10,25,2,2,2,2,2,2,2
120986,1984,5,35,21,22,11,5,7,5,5,5
120987,1984,19,19,19,19,19,19,19,19,19,19
120988,1984,0,11,0,0,0,0,18,0,0,13
120989,1984,0,0,0,0,0,0,0,0,0,20
120990,1984,8,8,8,8,8,8,8,8,8,8
120991,1984,0,22,0,0,0,16,0,0,0,0
120992,1984,22,17,7,15,6,0,18,22,7,18
120993,1984,0,0,0,0,0,0,0,0,0,0
120994,1984,20,20,20,20,20,20,20,20,20,20
120995,1984,0,0,0,0,0,0,0,0,0,0
120996,1984,10,31,13,13,11,0,14,22,24,27
120997,1984,24,20,18,16,27,18,17,11,19,20
120998,1984,22,16,10,16,10,10,12,15,17,26
120999,1984,15,15,15,15,15,15,15,15,15,15
121000,1984,29,21,0,15,0,0,17,14,5,18
121001,1984,0,0,0,0,0,0,0,0,0,0
121002,1984,0,15,0,0,0,0,0,0,0,0
121003,1984,0,0,0,0,0,0,0,0,0,0
121004,1984,4,8,0,0,0,0,0,0,0,0
121005,1984,28,24,0,0,0,35,15,0,21,38
121006,1984,0,0,0,0,0,0,0,0,0,0
121007,1984,0,0,0,0,0,0,0,0,0,0
121008,1984,0,0,0,0,0,0,0,0,0,0
121009,1984,21,21,21,21,21,21,21,21,21,21
121010,1984,9,9,9,9,9,9,9,9,9,9
121011,1984,0,0,7,0,0,0,0,0,0,0
121012,1984,21,20,13,23,11,25,13,15,8,22
121013,1984,18,18,18,18,18,18,18,18,18,18
121014,1984,0,0,0,0,0,0,0,0,0,0
121015,1984,0,0,0,0,0,0,0,0,0,0
121016,1984,32,32,32,32,32,32,32,32,32,32
121017,1984,22,22,22,22,22,22,22,22,22,22
121018,1984,15,23,14,12,21,22,18,11,29,16
121019,1984,0,0,0,0,0,0,0,0,10,0
121020,1984,14,13,18,17,23,30,20,16,15,24
121021,1984,0,0,0,0,28,0,0,0,0,0
121022,1984,0,11,5,18,4,0,0,10,0,0
121023,1984,0,0,0,19,0,0,0,0,0,29
121024,1984,0,0,0,0,0,0,12,0,0,0
121025,1984,0,18,27,15,10,18,10,24,0,0
121026,1984,0,0,0,0,0,0,0,0,0,0
121027,1984,0,0,0,0,0,0,0,0,0,0
121028,1984,0,0,0,0,0,0,0,0,0,0
121029,1984,0,0,0,0,0,0,0,0,0,0
121030,1984,0,0,0,0,0,0,0,0,0,0
