ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10458,1988,0,0,0,0,0,0,0,0,0,0
10459,1988,0,0,0,0,0,0,0,0,0,0
10460,1988,0,0,3,0,0,0,0,0,0,0
10461,1988,0,0,0,0,0,0,0,0,0,0
10462,1988,0,0,0,0,22,0,0,0,0,0
10463,1988,1,1,1,1,1,1,1,1,1,1
10464,1988,0,12,0,0,0,0,13,0,0,0
10465,1988,0,0,14,0,0,0,0,0,0,0
10466,1988,0,0,0,0,0,0,0,0,0,0
10467,1988,0,0,0,0,0,0,0,0,30,0
10468,1988,0,0,0,0,0,0,0,0,0,0
10469,1988,0,10,23,14,0,26,31,26,42,29
10470,1988,0,0,0,0,0,0,0,0,0,0
10471,1988,25,25,34,13,28,15,13,38,10,20
10472,1988,0,0,0,0,0,0,0,0,0,0
10473,1988,0,0,0,0,0,0,0,0,0,0
10474,1988,5,3,17,13,22,4,14,17,10,7
10475,1988,0,0,0,0,0,0,0,0,0,0
10476,1988,0,0,0,0,0,0,0,0,0,0
10477,1988,0,0,0,0,0,0,0,19,0,0
10478,1988,18,18,18,18,18,18,18,18,18,18
10479,1988,0,0,0,0,0,0,0,0,0,0
10480,1988,0,0,26,0,15,0,0,7,0,0
10481,1988,3,3,3,3,3,3,3,3,3,3
10482,1988,0,0,0,0,0,0,0,0,0,0
10483,1988,11,11,11,11,11,11,11,11,11,11
10484,1988,0,14,0,0,0,0,0,0,0,0
10485,1988,0,0,0,0,24,0,10,0,0,0
10486,1988,16,11,0,0,0,0,0,0,0,0
10487,1988,0,0,0,0,0,0,0,0,0,0
10488,1988,12,28,22,23,0,19,11,14,8,0
10489,1988,0,0,0,0,0,0,20,0,0,23
10490,1988,0,0,0,0,0,0,0,0,0,0
10491,1988,27,27,27,27,27,27,27,27,27,27
10492,1988,0,0,0,0,0,0,0,0,0,0
10493,1988,0,0,0,0,0,0,0,0,0,0
10494,1988,0,0,0,0,0,0,0,0,0,0
10495,1988,0,11,0,0,0,0,11,13,0,0
10496,1988,0,0,0,0,0,0,12,0,0,15
10497,1988,17,0,0,17,0,3,0,25,18,19
10498,1988,22,0,0,0,0,3,10,8,0,19
10499,1988,31,31,31,31,31,31,31,31,31,31
10500,1988,0,0,0,0,0,0,0,0,0,0
10501,1988,0,0,0,0,16,0,6,0,0,19
10502,1988,0,0,0,0,0,0,0,0,0,0
10503,1988,8,8,8,8,8,8,8,8,8,8
10504,1988,0,0,0,0,0,0,0,0,0,0
10505,1988,20,20,20,20,20,20,20,20,20,20
10506,1988,0,0,0,0,0,0,0,0,0,0
10507,1988,0,0,0,0,0,0,0,0,0,0
10508,1988,0,0,0,0,0,0,0,0,0,0
10509,1988,0,0,0,0,0,0,0,0,0,0
10510,1988,0,0,0,0,0,0,0,0,0,0
10511,1988,0,0,0,0,0,0,0,0,0,0
10512,1988,25,0,14,11,0,10,10,22,0,0
10513,1988,0,0,0,0,0,0,0,0,0,0
10514,1988,6,14,9,7,17,13,11,15,10,21
10515,1988,0,0,0,0,0,0,0,0,0,0
10516,1988,0,0,0,0,0,0,0,0,0,0
10517,1988,0,0,0,0,0,0,0,0,0,10
10518,1988,7,0,2,22,6,15,15,16,18,21
10519,1988,14,14,14,14,14,14,14,14,14,14
10520,1988,0,0,0,0,0,0,0,0,0,0
10521,1988,0,7,0,0,0,17,21,0,0,0
10522,1988,0,0,0,0,0,0,0,0,0,0
10523,1988,0,0,0,0,0,0,0,0,0,0
10525,1988,0,0,0,0,0,0,0,0,0,0
10526,1988,16,16,16,16,16,16,16,16,16,16
10527,1988,0,8,0,8,0,0,27,0,15,0
10528,1988,0,0,0,0,0,0,0,0,0,0
10529,1988,0,0,0,0,0,0,0,0,0,0
10530,1988,0,0,0,0,0,0,0,0,0,0
10531,1988,0,0,0,0,0,0,0,0,0,0
10532,1988,0,0,0,0,0,10,20,0,20,19
10533,1988,0,6,0,0,0,0,0,0,5,11
10534,1988,0,0,0,0,0,0,0,0,0,0
10535,1988,0,0,0,0,0,0,0,0,0,0
10536,1988,12,12,12,12,12,12,12,12,12,12
10537,1988,0,0,0,0,0,0,0,0,0,0
10538,1988,0,0,0,0,0,0,0,0,0,0
