ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10117,3,1,1988,0,0,0,0,13,0,0,0,0,0
10118,1,1,1988,11,11,11,11,11,11,11,11,11,11
10119,1,1,1988,0,0,0,0,0,0,0,0,0,0
10120,1,1,1988,0,0,0,0,0,0,0,0,0,0
10120,2,1,1988,0,0,0,0,0,0,0,0,0,0
10121,0,1,1988,0,0,0,0,0,0,0,0,0,0
10121,1,1,1988,0,0,0,0,0,0,0,0,0,0
10122,1,1,1988,0,0,0,0,0,0,0,0,0,0
10123,0,1,1988,0,0,0,0,0,0,0,0,0,0
10123,1,1,1988,0,0,0,0,0,0,0,0,0,0
10124,1,1,1988,0,0,0,0,0,0,0,0,0,8
10124,2,1,1988,10,0,0,0,0,0,0,0,0,0
10125,1,1,1988,0,0,0,0,0,0,0,0,0,0
10126,1,1,1988,0,0,0,0,0,0,0,0,0,0
10126,2,1,1988,6,6,6,6,6,6,6,6,6,6
10127,1,1,1988,3,3,3,3,3,3,3,3,3,3
10128,1,1,1988,0,0,0,0,0,0,0,0,0,0
10129,1,1,1988,16,16,16,16,16,16,16,16,16,16
10130,1,1,1988,30,30,30,30,30,30,30,30,30,30
10131,1,1,1988,0,0,0,0,0,0,0,0,0,0
10131,2,1,1988,0,0,0,0,0,0,0,0,0,0
10132,1,1,1988,0,0,0,0,0,0,0,0,0,0
10132,2,1,1988,0,5,0,0,0,0,0,0,0,0
10133,1,1,1988,20,20,20,20,20,20,20,20,20,20
10134,0,1,1988,52,52,52,52,52,52,52,52,52,52
10134,1,1,1988,0,17,22,0,0,9,24,0,0,0
10135,0,1,1988,0,0,0,0,0,0,0,0,0,0
10135,1,1,1988,0,0,0,0,0,0,0,0,0,0
10136,1,1,1988,23,0,7,0,21,0,0,0,0,30
10136,2,1,1988,0,0,0,0,0,0,0,0,0,0
10137,1,1,1988,0,0,0,0,0,0,0,0,0,0
10137,2,1,1988,0,0,0,0,0,0,0,0,0,0
10138,1,1,1988,0,0,0,0,0,0,0,0,11,0
10139,1,1,1988,0,0,0,0,0,0,0,0,0,0
10139,2,1,1988,0,0,0,0,0,0,0,0,0,0
10140,1,1,1988,0,0,13,0,0,0,7,0,0,0
10140,2,1,1988,0,23,0,0,0,0,0,4,0,0
10141,1,1,1988,5,5,5,5,5,5,5,5,5,5
10142,1,1,1988,0,16,0,0,0,10,24,0,0,0
10142,2,1,1988,0,0,0,0,0,0,0,0,0,0
10143,1,1,1988,0,0,0,0,0,0,0,0,0,0
10144,1,1,1988,35,28,24,30,0,23,25,10,27,19
10145,1,1,1988,20,20,20,20,20,20,20,20,20,20
10145,2,1,1988,0,0,17,0,0,0,0,0,0,30
10146,1,1,1988,18,18,18,18,18,18,18,18,18,18
10146,2,1,1988,0,0,0,0,0,0,0,0,0,0
10147,1,1,1988,30,30,30,30,30,30,30,30,30,30
